"id";"chinese";"english";"classification1";"classification2";"classification3";"source";"remark";"contributor";"image";"xremark";"sentenceCN";"sentenceCNResource";"sentenceEN";"sentenceENResource";"abbreviationCN";"abbreviationEN";"synonymCN";"synonymEN";"definationCN";"definationCNResource";"definationEN";"definationENResource";"status";"totalClick"
53;"应急照明";"emergency light";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
54;"应急照明灯";"emergency light";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
55;"头灯";"cap lamp";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
56;"头灯";"head lamp";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
57;"危化品";"hazardous chemical ";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
58;"防尘帽";"dust cap ";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
59;"防尘口罩";"dust mask";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
60;"防护耳塞";"ear plug";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
61;"防护眼镜";"safety goggles";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
62;"护目镜";"goggles";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
63;"防静电手套";"antistatic gloves";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
64;"高处作业";"work at height";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
65;"个人防护装备";"personal protective equipment ";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
66;"个人防护装备";"PPE";"风电";"HSE ";"Safety";"";"abbr.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
67;"工伤保险";"work-related injury insurance";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
68;"全身式安全带";"full body harness";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
69;"应急预案";"contingency plan ";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
70;"救生衣";"life jacket";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
71;"救生筏";"life raft";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
72;"安全条款";"safety clause";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
73;"安全距离";"safety distance";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
74;"安全等级";"safety grade";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
75;"人身安全";"safety of personnel";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
76;"工作服";"workwear";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
77;"LED应急照明";"LED emergency light";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
78;"安全滑轨";"rigid anchor line";"风机";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
79;"登高证";"Work at Height Certificate";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
80;"电绝缘手套";"electrical insulating gloves";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
81;"防滑耐磨手套";"Wear-resistant antiskid gloves";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
82;"绝缘胶带";"insulation tape";"风电";"HSE ";"Safety";"";"Preferred";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
83;"绝缘胶带";"insulating tape";"风电";"HSE ";"Safety";"";"Standard";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
84;"绝缘鞋";"dielectric footwear ";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
85;"绝缘鞋";"electrically insulating footwear  ";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
86;"口罩";"mask";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
87;"危险电压警告";"Hazardous voltage warning";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
88;"全身背负式安全带";"full body harness";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
89;"护面罩";"face shield";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
90;"防护手套";"work gloves";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
91;"工作鞋";"work shoes";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
92;"能量缓冲器";"shock-absorbing lanyard";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
93;"减震绳";"shock-absorbing lanyard";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
94;"癫痫";"epilepsy";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
95;"高血压";"hypertension";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
96;"恐高症";"acrophobia";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
97;"运动功能障碍";"dyskinesia";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
98;"截肢";"amputation";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
99;"心绞痛";"angina";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
100;"心绞痛";"angina pectoris";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
101;"关节炎";"arthritis  ";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
102;"哮喘";"asthma";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
103;"自动体外除颤器";"Automatic External Defibrillator";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
104;"心肺复苏术";"Cardiopulmonary Resuscitation";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
105;"心肺复苏术";"CPR";"风电";"HSE ";"Health";"";"abbr.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
106;"循环系统";"circulatory system";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
107;"幽闭恐怖症";"claustrophobia";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
108;"冷休克";"cold shock";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
109;"心电图";"electrocardiogram";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
110;"心律失常";"arrhythmia";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
111;"体检";"physical examination";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
112;"体检";"health check-up";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
113;"体检证明";"certificate of physical examination ";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
114;"急救箱";"first aid kit";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
115;"急救药箱";"first aid kit";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
117;"昏厥症";"fainting";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
118;"昏厥症";"syncope ";"风电";"HSE ";"Health";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
119;"极端天气";"extreme weather";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
120;"阴影闪烁";"shadow flicker";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
121;"周围空气温度";"ambient air temperature";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
122;"严酷等级";"severity";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
123;"雷暴日";"thunderstorm day";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
124;"碳信用";"carbon credit";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
125;"清洁发展机制";"Clean Development Mechanism";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
126;"京都议定书";"Kyoto Protocol";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
127;"绿色标签";"green tag";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
128;"污染等级";"pollution degree";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
129;"盐雾";"salt mist";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
130;"冻土层";"frozen soil";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
131;"环境条件";"ambient conditions";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
132;"环境温度";"ambient temperature";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
133;"露点";"dewpoint ";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
134;"大气露点";"atmospheric dewpoint ";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
135;"大气压";"atmospheric pressure";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
136;"自燃温度";"auto-ignition temperature";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
137;"清洁度";"cleanliness level";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
138;"污染度";"contamination level";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
139;"工作环境温度";"operating temperature";"风电";"HSE ";"Environment";"";"Preferred";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
140;"工作环境温度";"working temperature";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
141;"凝露";"condensation";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
142;"平均湿度";"average humidity";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
143;"气压";"air pressure";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
144;"环境控制系统";"environmental control system";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
145;"海拔以上";"above sea level";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
146;"海平面以上";"above sea level";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
147;"热带气候";"tropical climate";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
148;"地下水";"underground water";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
149;"废气";"waste gas";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
150;"冰点";"freezing point";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
151;"固体废弃物";"solid waste ";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
152;"极端最低温度";"extreme low temperature";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
153;"极端最高温度";"extreme high temperature";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
154;"生活废水";"domestic wastewater";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
155;"生活废水";"household wastewater";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
156;"相对平均湿度";"average relative humidity";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
157;"相对湿度";"relative humidity";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
158;"最大湿度";"maximum humidity";"风电";"HSE ";"Environment";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
159;"叶轮总成";"rotor assembly";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
160;"叶轮";"rotor";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
161;"叶片";"blade";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
162;"叶根";"blade root";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
163;"叶尖";"blade tip";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
164;"轮毂";"hub";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
165;"导流罩";"spinner";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
166;"后缘";"trailing edge";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
167;"前缘";"leading edge";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
168;"压力面";"pressure side";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
169;"吸力面";"suction side";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
170;"主梁";"main spar";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
171;"梁帽";"spar cap";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
172;"腹板";"shear web";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
173;"蒙皮壁板";"skin panel";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
174;"夹芯结构";"sandwich";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
175;"翼型";"airfoil";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
176;"低压背风面";"low pressure leeward side";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
177;"高压迎风面";"high pressure windward side";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
178;"弦线";"chord line";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
179;"弦向";"chordwise ";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
180;"阻力系数";"drag coefficient";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
181;"翼展";"span";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
182;"翼展方向";"spanwise";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
183;"中弧线";"mean camber line";"风电";"风机";"叶轮系统";"";"叶片";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
184;"叶轮直径";"rotor diameter";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
185;"叶轮锁";"rotor lock";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
186;"叶轮转速";"rotor speed";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
187;"扫掠面积";"swept area";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
188;"扫风面积";"swept area";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
189;"变速变桨距";"variable-speed variable-pitch";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
190;"轮毂高度";"hub height";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
191;"轮毂中心高度";"hub height";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
192;"涡流发生器";"vortex generator";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
193;"轮毂罩";"hub housing";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
194;"轮毂测控柜";"hub measurement and control box";"风电";"风机";"叶轮系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
195;"机舱";"nacelle";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
196;"机舱底座";"nacelle base";"风电";"风机";"机舱";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
